Index,Name,City,State,Phone Number
1,A. J. Levin,Boston, Massachusetts,7- 7- 69 --54- 7- -539- 7-  * 78
2,A. J. Liebling,Anaheim, California,7 - 6.64- 523--030  1-
3,A. J. Sebastian,Oakland, California,43- *400-3413
4,A.C. Green,Pittsburgh, Pennsylvania,605- - 7- 44-320
5,A.J. Mogis,Chula Vista, California,245- 699-3
6,A.J. Styles,Honolulu, Hawaii,214- 6*40-5205
7,A.W. Tozer,Baltimore, Maryland,814- 852-9241
9,Aamir Khan,Norfolk, Virginia,7238- 9- 7- 5-0126 * 78
12,Aaron Barrett,New Orleans, Louisiana,306- 348-295
13,Aaron Brown,Orlando, Florida,884- 608-36- 7-
14,Aaron Carter,Newark, New Jersey,683 -- 524-133*5
15,Aaron Comess,Mesa, Arizona,856 -- - 7- 22-- 7- 244
16,Aaron Copeland,Kansas , Missouri,2- 7- 0- 956 - 686478
17,Aaron Eckhart ,Norfolk, Virginia,7990- 485-59  1-3 * 78
18,Aaron Feinberg,Corpus Christi, Texas,7 - 4*40- 993-8  1-39
19,Aaron Guerra ,Garland, Texas,7 * -849787 - 01 - 1.4
20,Aaron Harnik,Portland, Oregon,7 * 462587 - 01 - 1.4
21,Aaron Himelstein,Oklahoma , Oklahoma,204- 953-9
22,Aaron Jay Kernis,Baltimore, Maryland,6.64- - 7- 23-4680
23,Aaron Kamin of The Calling,Baton Rouge, Louisiana,633*- *400-6*406
24,Aaron Klug,Indianapolis, Indiana,943- 861-609- 7- 78
25,Aaron Lewis,Newark, New Jersey,7360- - 7- 68-41- 7- - 7-  * 78
26,Aaron Lopez,Long Beach, California,7 - 345- 699-5- 7- 18
27,Aaron North ,Long Beach, California,8- 7-  -- 591-9803
28,Aaron Peirsol ,Raleigh, North Carolina,994- 5- 7- 6-33*9  1-
29,Aaron Pryor,Omaha, Nebraska,806- 920-9
30,Aaron Schock,San Diego, California,692 -- 238-2380
31,Aaron Siskind,Houston, Texas,301- 33*1-6316
32,Aaron Sorkin,Detroit, Michigan,433* -- 931-1- 7- 0178
33,Aaron Spelling,San Francisco, California,7- 7- 09- 6  1 - 6-8- 7- 35 * 78
34,Aaron T. Beck,Henderson, Nevada,7 - 695- 34- 7- -5584
35,Aaron Wills,Sacramento, California,- 7- 2- 460-8844
36,Aayla Secura,Memphis, Tennessee,860 -- 5- 7- 8-929
38,Abba Arika,Birmingham, Alabama,-10835* 78 - 7
39,Abba Eban,Madison, Wisconsin,65  1-- 222-2939
40,Abba Kovner,Denver, Colorado,36- 7-  --564-90- 7- 178
41,Abba Mari,San Francisco, California,7960- - 7- 28-4846 * 78
43,Abbas Kiarostami,Washington, DC,96- 434-2460
44,Abbey Rader,Bakersfield, California,389- 658-0- 7- 3
45,Abbie Hoffman,Scottsdale, Arizona,584- 210- -6
46,Abby Travis,Fort Worth, Texas,490- 924-22- 7- 1
47,Abe Attell,Charlotte, North Carolina,992- 224-0699
48,Abe Beame,Lubbock, Texas,5  1-5- 23-0-425078
49,Abe Fortas,Omaha, Nebraska,7350- 3- 7- 3-51- 7- 0 * 78
50,Abe Foxman,Baton Rouge, Louisiana,7 - 684- 429-522- 7- 
51,Abe Saperstein,Baton Rouge, Louisiana,  1-9- 356-580- 7- 
52,Abel Gance,Tulsa, Oklahoma,201- 236-996
53,Abel Guier ,El Paso, Texas,463 --525-4- 7- 
54,Abel Kiviat,Austin, Texas,205- 353-8- 7- 64
55,Abel Meeropol,Arlington, Texas,504- 45- 7- -5046
57,Abigail Adams,Los Angeles, California,733*8- 26.6-05- 7- 1 * 78
58,Abigail Van Buren,Honolulu, Hawaii,7 - 214 -- 389-- 7- 36.6
59,Abner 'Longy' Zwillman,Washington, DC,58 -- 932-396.6
61,Abraham Cahan,Minneapolis, Minnesota,848- 260- -6
62,Abraham Emanuel,Mesa, Arizona,264- 602-5926
63,Abraham Foxman,Los Angeles, California,5- 7- 3- 98- 7- -2949
64,Abraham ibn Daud,Jacksonville, Florida,4- 7- 8- 46.6-950378
65,Abraham ibn Ezra,Lexington-Fayette, Kentucky,7343- 4- 7- 5-5433* * 78
66,Abraham Isaac Kook,Omaha, Nebraska,7 - 924- 841-6292
67,Abraham Joshua Heschel,Lexington-Fayette, Kentucky,3*0 -- 94- 7- -6560
68,Abraham Laboriel,Orlando, Florida,231- 2- 7- 4-- 7- 59
69,Abraham Lincoln,Newark, New Jersey,48 - 7-    930-2
70,Abraham Mapu,Tampa, Florida,952 -- 6.63-033*8
71,Abraham Maslow,Charlotte, North Carolina,488- 532 - 696.6
72,Abraham Pais,San Diego, California,506 -- 201-496078
73,Abraham Polonsky,Nashville-Davidson, Tennessee,7226- - 7- 11-3823 * 78
74,Abraham Ribicoff,Wichita, Kansas,7 - 948- 411-1- 7- 44
75,Abraham Robinson,Gilbert town, Arizona,- 7- 93- - 7- - 7- - 7- -525- 7- 
76,Abraham Serfaty,Memphis, Tennessee,990- 421-09- 7- 
77,Abraham Sinkov,Houston, Texas,- 7- 93- 85  1--4
78,Abraham Zapruder,Fremont, California,995- - 7- 0- 7- -6232
79,Abraham Zelmanowitz,Fort Wayne, Indiana,8  1-9- - 7- 5  1--8  1-  1-2
80,"Acaba, Joseph M.",Laredo, Texas,28- 7- - 324-233*678
81,Ace Andres ,Phoenix, Arizona,7646- 252-0518 * 78
82,Ace Frehley,St. Louis, Missouri,7 - 593 --528-0145
83,Acey Slade ,Glendale, Arizona,39- 899-1- 7- 2- 7- 
84,Ada Lovelace,Corpus Christi, Texas,491 -- - 7- 00-483
85,Adam Arkin,Reno, Nevada,8- 7- 0- 3- 7- 3-- 7- - 7- 
86,Adam Brody,Baton Rouge, Louisiana,99 - 7-    881-5398
87,Adam Clayton,Corpus Christi, Texas,221 -- 91- 7- -458- 7- 
88,Adam Czerniakow,Houston, Texas,823- 299-652078
89,Adam Duritz of Counting Crows,Bakersfield, California,79- 7- 2- 469 - 6806 * 78
90,Adam Dutkiewicz ,Riverside, California,-521(787)01 - 1
91,Adam Gardner,Chula Vista, California,-279(787)01 - 1
92,Adam Gaynor,Santa Ana, California,6- 7- 6- 4- 7- 0-- 7- 82
93,Adam Goldberg,Reno, Nevada,-764(787)01 - 1
94,Adam Gontier,Norfolk, Virginia,316 -- 809-8862
95,Adam Green,Fresno, California,922- 33*4-0835
96,Adam Horovitz,Philadelphia, Pennsylvania,653- 930-1033*78
97,Adam Horwitz,Louisville/Jefferson, Kentucky,7415 -- 884-4814 * 78
98,Adam Jones,Lexington-Fayette, Kentucky,7 - 33*9- 86.6-169- 7- 
99,Adam Kury,Newark, New Jersey,50- 2  1-8-- 7- 3- 7- - 7- 
100,Adam Levine,Anchorage municipality, Alaska,368- 619-- 7- 13- 7- 
101,Adam Michnik,Philadelphia, Pennsylvania,561 -- 326-2
102,Adam Nussbaum ,Wichita, Kansas,968- 965-56  1-- 7- 
103,Adam Sandler,Buffalo, New York,293 -- 33*5-5628
104,Adam Schiff,Tulsa, Oklahoma,7 * -675887 - 01 - 1.4
105,Adam Schlesinger,Kansas , Missouri,7- 7- 28- 931-906- 7-  * 78
106,Adam Shapiro,Irvine, California,7 - 5- 7- 5 -- 960-6- 7- 25
107,Adam Smith,Mesa, Arizona,- 7- 56- 356-890- 7- 
108,Adam Stanler,Memphis, Tennessee,286 -- 9- 7- - 7- -48*4
109,Adam Stern,New York City, New York,509- 435-29- 7-
110,Adam von Buhler ,Norfolk, Virginia,216- - 7- 39-6036
111,Adam Worth,Santa Ana, California,356- 681-4449
112,Adam Yauch,Seattle, Washington,6.66- 511-524- 7- 78
113,Adele Goldberg,Newark, New Jersey,7220- 643-0008 * 78
114,Adele Goldstine,Long Beach, California,7 - 323- 546-5500
115,Adin Steinsaltz,Anchorage municipality, Alaska,-844(787)01 - 1
116,Ad-Mike D ,Winston-Salem, North Carolina,655- 252-161
117,Admiral Ackbar,Henderson, Nevada,532- 395-509- 
118,Admiral Isard,Omaha, Nebraska,802- 355-- 7- 138
119,Admiral Motti,Irvine, California,33*9- 463-2060
120,Adolf Abraham Halevi Fraenkel,Scottsdale, Arizona,5  1-0- 536-  1-34  1-78
121,Adolf Hitler,Greensboro, North Carolina,7899 -- 32- 7- -606- 7-  * 78
122,Adolf von Baeyer,Lubbock, Texas,7 - 343- - 7- 62-2- 7- - 7- 5
124,Adolph Gottlieb,St. Paul, Minnesota,359- - 7- - 7-  - 7-   - 7- 61
125,Adolph Green,Garland, Texas,985 -- 994-3- 7- 
126,Adolph Ioffe,Anchorage municipality, Alaska,242 -- 90- 7- -5241
127,Adolph Ochs,Louisville/Jefferson, Kentucky,359 --542-5- 7- 42
128,Adolph Sutro,Anaheim, California,230 -- 594-141278
129,Adolph Zukor,Scottsdale, Arizona,685(787)01 - 1
130,Adolphus Solomons,Chandler, Arizona,7 - 236 -- 945-4503
131,Adrian Belew ,St. Petersburg, Florida,30- 202-0194
132,Adrian Fenty,Winston-Salem, North Carolina,232 -- 983-082
133,Adrian Jackson ,Boise, Idaho,995- 832-4
134,Adrian Lambert,Anaheim, California,396- 54- 7- -  1-46- 7- 
135,Adrian Lamo,Plano, Texas,96- 7-  --525-8- 7- 6.6
136,Adrian Pucey,Garland, Texas,391 -- 6.69-52- 7- 478
137,Adrian Smith,Columbus, Ohio,7492 -- 48- 7- -(6.61)4 * 78
138,Adriana Lima,Honolulu, Hawaii,7 - 834 -- - 7- 5- 7- -1815
139,Adriane Pieczonka,Raleigh, North Carolina,6.6 -- 981-8993
140,Adrien Brody,Pittsburgh, Pennsylvania,990 -- 90- 7- -554
141,Adrienne Rich,Philadelphia, Pennsylvania,926- 892-6
143,Aemilia Lanyer,Corpus Christi, Texas,*406- 990-0- 7- 9- 7- 
144,Agatha Christie,Detroit, Michigan,522- - 7- 99-199178
145,Agnetha Fältskog,Durham, North Carolina,7385- 342-8- 7- 39 * 78
146,Agostino Marangolo,Tampa, Florida,7 - 509- 522-0128
147,Agustín Barrios ,Anaheim, California,88- 656-0122
148,Ahad Ha'am,Winston-Salem, North Carolina,965- 836-633*
149,Aharon Kotler,Minneapolis, Minnesota,541- 33*2-929- 
150,Aharon Lichtenstein,Sacramento, California,33*5- 202-4390
151,Ahmad Suradji,Norfolk, Virginia,683- 886-9849
152,Ahsoka Tano,Pittsburgh, Pennsylvania,985- 30- 7- -162678
154,Aileen Wuornos ,Pittsburgh, Pennsylvania,7 - 3- 7- 4- - 7- - 7- 6-3919
155,Aimee Mann ,Portland, Oregon,- 7- 3- 365-2- 7- 25
156,Aki Kaurismaki,Atlanta, Georgia,923-- - 7-   1-9 - 60  1-
157,Akiba Eger,Dallas, Texas,41 - 7-    938-9
158,Akiba Rubinstein,Scottsdale, Arizona,264- - 7- - 7- 1-43- 7- - 7- 
159,Akira Fudo/Devilman,Seattle, Washington,880- 824-42- 7- - 7- 
160,Akira Kongou,Houston, Texas,7 * -627687 - 01 - 1.4
161,Akira Kurosawa,Kansas , Missouri,74  1-0- 55- 7- -454  1- * 78
162,Akira Takasaki ,Chula Vista, California,7 * -250887 - 01 - 1.4
163,Akira Tana,Anaheim, California,48- 3- 7- 1-199- 7- 
165,Al Alvarez,Kansas , Missouri,642- 46.6-- 7- - 7- 
167,Al Casey ,Lincoln, Nebraska,269- - 7- 03-8- 7- 52
168,Al Cisneros ,Madison, Wisconsin,2- 7- 6 -- 328-63- 7- 078
169,Al Davis,El Paso, Texas,7480- 983-2965 * 78
